id_unique,id_hh,id_rhomis_dataset,id_form,id_proj,otherfarms,ownbusiness,localbusiness,otherlabour,remittances
a742bce2-e27b-48a0-a3f5-cebe3222a688,6e3b21559a60fa4e30e897ac80dcddcf,6e982919815018fb4540099f74cb968c,test_form,test_project,male_youth,NA,NA,NA,NA
3c0a3005-6bb6-40ac-b74b-f1d249c8f4bd,c8363d9d1646c031b82f5e13ae784870,6e982919815018fb4540099f74cb968c,test_form,test_project,NA,female_adult,NA,NA,NA
1a621330-13e8-4363-8bea-cde0bca1d30e,542e2e33c5e6e9412cae6eaabcf172a3,6e982919815018fb4540099f74cb968c,test_form,test_project,NA,NA,male_adult,NA,NA
fee48305-07b2-41c5-9772-f3e157e4cdaa,7a804f6921131e77a12c69ed5d4f4f2e,06cd96468e74bda49a55ba14145ef9ec,test_form,test_project,NA,NA,male_youth,NA,NA
89764030-29a0-4d1a-86a3-e1362ccd7ddc,727e146692b2d63f0d5584b85455be9b,06cd96468e74bda49a55ba14145ef9ec,test_form,test_project,NA,NA,NA,male_adult,NA
42676b9d-7803-441c-860c-f9f384498081,c1754e1643d676ad5170f4f296403456,06cd96468e74bda49a55ba14145ef9ec,test_form,test_project,NA,NA,NA,NA,NA
ef81ddbe-6167-4dcc-a092-b70142d7350e,2edc6211a8daf959bb135020165a17e4,9ec32b0ca09a4443ebcf11115f2a6f42,test_form,test_project,NA,NA,NA,NA,male_adult female_adult
dfd17d97-6fbb-4450-a59b-a12b0454a2b5,20d2c76f9c3d822eef1233edf9ce7e37,9ec32b0ca09a4443ebcf11115f2a6f42,test_form,test_project,NA,NA,NA,NA,NA
2b03baf2-59d4-497c-b76a-2450eca69722,baead880d2ef55355edced208d8f6aa5,9ec32b0ca09a4443ebcf11115f2a6f42,test_form,test_project,NA,male_adult female_adult,NA,NA,NA
0cfe74e6-28b3-466a-a57d-f0894ad201fa,5970069e3736398d3a257d75367c0d72,9ec32b0ca09a4443ebcf11115f2a6f42,test_form,test_project,NA,NA,NA,male_adult,NA
