unit_type,id_rhomis_dataset,survey_value,conversion
crop_name_to_std,6e982919815018fb4540099f74cb968c,maize,maize
crop_name_to_std,6e982919815018fb4540099f74cb968c,cassava,cassava
crop_name_to_std,6e982919815018fb4540099f74cb968c,sukuma_wiki,NA
crop_name_to_std,6e982919815018fb4540099f74cb968c,tomato,tomato
crop_name_to_std,6e982919815018fb4540099f74cb968c,irish_potato,irish_potato
crop_name_to_std,6e982919815018fb4540099f74cb968c,field_beans,NA
crop_name_to_std,06cd96468e74bda49a55ba14145ef9ec,maize,maize
crop_name_to_std,06cd96468e74bda49a55ba14145ef9ec,cassava,cassava
crop_name_to_std,06cd96468e74bda49a55ba14145ef9ec,sukuma_wiki,NA
crop_name_to_std,06cd96468e74bda49a55ba14145ef9ec,field_beans,NA
crop_name_to_std,06cd96468e74bda49a55ba14145ef9ec,onion,NA
crop_name_to_std,06cd96468e74bda49a55ba14145ef9ec,macadamia,NA
crop_name_to_std,06cd96468e74bda49a55ba14145ef9ec,avocado,NA
crop_name_to_std,06cd96468e74bda49a55ba14145ef9ec,french beans,NA
crop_name_to_std,06cd96468e74bda49a55ba14145ef9ec,guavas,NA
crop_name_to_std,9ec32b0ca09a4443ebcf11115f2a6f42,maize,maize
crop_name_to_std,9ec32b0ca09a4443ebcf11115f2a6f42,vegetables,NA
crop_name_to_std,9ec32b0ca09a4443ebcf11115f2a6f42,sorgham,NA
crop_name_to_std,9ec32b0ca09a4443ebcf11115f2a6f42,field_beans,NA
crop_name_to_std,9ec32b0ca09a4443ebcf11115f2a6f42,onion,NA
crop_name_to_std,9ec32b0ca09a4443ebcf11115f2a6f42,sukuma_wiki,NA
crop_name_to_std,9ec32b0ca09a4443ebcf11115f2a6f42,tomato,tomato
crop_name_to_std,9ec32b0ca09a4443ebcf11115f2a6f42,cabbage,NA
crop_name_to_std,9ec32b0ca09a4443ebcf11115f2a6f42,other_example_1,NA
crop_name_to_std,9ec32b0ca09a4443ebcf11115f2a6f42,other_example_2,NA
crop_name_to_std,9ec32b0ca09a4443ebcf11115f2a6f42,other_example_3,NA
